patientid	celltype	predicted_proportion	class	true_proportion	sample_size
sc5rJUQ042	B cells	0.00067722976406293	s1 10000	0.112474437627812	10000
sc5rJUQ042	Cycling cells	0.0001567916987086	s1 10000	0.00449897750511247	10000
sc5rJUQ042	Endothelial cells	0.126379902444643	s1 10000	0.0683026584867076	10000
sc5rJUQ042	Epithelial cells	0.0500889129343379	s1 10000	0.0674846625766871	10000
sc5rJUQ042	Mesenchymal cells	0.178481775082804	s1 10000	0.133742331288344	10000
sc5rJUQ042	Myeloid cells	0.0485257586213896	s1 10000	0.0310838445807771	10000
sc5rJUQ042	Myoepithelial cells	0.00015882067221927	s1 10000	0.0408997955010225	10000
sc5rJUQ042	T cells	0.595530808781834	s1 10000	0.541513292433538	10000
sc5rJUQ043	B cells	0	s1 10000	0.0634920634920635	10000
sc5rJUQ043	Cycling cells	0.00172835115415935	s1 10000	0.0158730158730159	10000
sc5rJUQ043	Endothelial cells	0.127029984028708	s1 10000	0.0952380952380952	10000
sc5rJUQ043	Epithelial cells	0.0111770908813743	s1 10000	0.0793650793650794	10000
sc5rJUQ043	Mesenchymal cells	0.20991582904456	s1 10000	0.0793650793650794	10000
sc5rJUQ043	Myeloid cells	0.00480271938551697	s1 10000	0	10000
sc5rJUQ043	Myoepithelial cells	0.0276087593910343	s1 10000	0.19047619047619	10000
sc5rJUQ043	T cells	0.617737266114647	s1 10000	0.476190476190476	10000
sc5rJUQ045	B cells	0	s1 10000	0.00789889415481833	10000
sc5rJUQ045	Cycling cells	0.202053661358078	s1 10000	0.116903633491311	10000
sc5rJUQ045	Endothelial cells	0.0816535519054173	s1 10000	0.0268562401263823	10000
sc5rJUQ045	Epithelial cells	0.0110721216134518	s1 10000	0.394944707740916	10000
sc5rJUQ045	Mesenchymal cells	0.164833281505693	s1 10000	0.102685624012638	10000
sc5rJUQ045	Myeloid cells	0.160225763971835	s1 10000	0.0884676145339653	10000
sc5rJUQ045	Myoepithelial cells	0.127663814845706	s1 10000	0.121642969984202	10000
sc5rJUQ045	T cells	0.252497804799819	s1 10000	0.140600315955766	10000
sc5rJUQ046	B cells	0.0661404578647344	s1 10000	0.0634218289085546	10000
sc5rJUQ046	Cycling cells	0.0286646147418424	s1 10000	0.0353982300884956	10000
sc5rJUQ046	Endothelial cells	0.104296759148816	s1 10000	0.0929203539823009	10000
sc5rJUQ046	Epithelial cells	0.00800132472932112	s1 10000	0.123893805309735	10000
sc5rJUQ046	Mesenchymal cells	0.0469103457456713	s1 10000	0.0250737463126844	10000
sc5rJUQ046	Myeloid cells	0.0387691476619192	s1 10000	0.0604719764011799	10000
sc5rJUQ046	Myoepithelial cells	0.0731942996828758	s1 10000	0.0575221238938053	10000
sc5rJUQ046	T cells	0.63402305042482	s1 10000	0.541297935103245	10000
sc5rJUQ050	B cells	0.020504024503331	s1 10000	0.0320945945945946	10000
sc5rJUQ050	Cycling cells	9.213662578861e-05	s1 10000	0.00675675675675676	10000
sc5rJUQ050	Endothelial cells	0.0114929977583255	s1 10000	0.0126689189189189	10000
sc5rJUQ050	Epithelial cells	0.00959105323680107	s1 10000	0.070945945945946	10000
sc5rJUQ050	Mesenchymal cells	0.763422282706307	s1 10000	0.528716216216216	10000
sc5rJUQ050	Myeloid cells	0.0828545937878834	s1 10000	0.0971283783783784	10000
sc5rJUQ050	Myoepithelial cells	0	s1 10000	0.0734797297297297	10000
sc5rJUQ050	T cells	0.112042911381564	s1 10000	0.178209459459459	10000
sc5rJUQ051	B cells	0	s1 10000	0.0437062937062937	10000
sc5rJUQ051	Cycling cells	0.00504570329020972	s1 10000	0.00174825174825175	10000
sc5rJUQ051	Endothelial cells	0.00473355786341668	s1 10000	0.0192307692307692	10000
sc5rJUQ051	Epithelial cells	0.00068762155457146	s1 10000	0.00524475524475525	10000
sc5rJUQ051	Mesenchymal cells	0.00082279556360526	s1 10000	0.0034965034965035	10000
sc5rJUQ051	Myeloid cells	0.249477453091248	s1 10000	0.295454545454545	10000
sc5rJUQ051	Myoepithelial cells	0.0359860973040577	s1 10000	0.0104895104895105	10000
sc5rJUQ051	T cells	0.703246771332892	s1 10000	0.620629370629371	10000
